final_network_partner,date,item,weight
LivraPlus (France),2019-08-01,7,2.8
LivraPlus (France),2019-08-02,4,0.0
LivraPlus (France),2019-08-05,2,1.0
LivraPlus (France),2019-08-07,1,0.0
LivraPlus (France),2019-09-11,6,3.24
LivraPlus (France),2019-09-13,1,0.0
LivraPlus (France),2019-09-16,1,0.0
LivraPlus (France),2019-09-23,4,0.0
LivraPlus (France),2019-09-25,8,3.98
LivraPlus (France),2019-10-07,6,0.0
LivraPlus (France),2019-10-16,4,0.0
LivraPlus (France),2019-11-07,1,0.0
LivraPlus (France),2019-11-15,1,0.517
LivraPlus (France),2019-11-19,7,5.667
LivraPlus (France),2019-11-20,1,0.5
LivraPlus (France),2019-11-21,13,10.173
LivraPlus (France),2019-11-24,4,0.0
LivraPlus (France),2019-11-25,3,0.0
LivraPlus (France),2019-11-26,3,2.495
LivraPlus (France),2019-11-27,4,0.0
LivraPlus (France),2019-11-28,1,0.0
LivraPlus (France),2019-11-29,1,0.001
LivraPlus (France),2019-12-20,1,1.513
LivraPlus (France),2020-01-02,2,15.86
LivraPlus (France),2020-01-03,3,15.62
LivraPlus (France),2020-01-07,4,26.581
LivraPlus (France),2020-01-08,2,0.03
LivraPlus (France),2020-01-09,1,11.6
LivraPlus (France),2020-01-10,1,0.522
LivraPlus (France),2020-01-12,1,1.64
LivraPlus (France),2020-01-13,19,4.2
LivraPlus (France),2020-01-15,20,75.54
LivraPlus (France),2020-01-19,2,0.002
LivraPlus (France),2020-01-20,2,5.2
LivraPlus (France),2020-01-23,2,0.46
LivraPlus (France),2020-01-24,1,0.72
LivraPlus (France),2020-01-27,1,2.86
LivraPlus (France),2020-01-28,2,11.54
LivraPlus (France),2020-01-30,1,8.0
LivraPlus (France),2020-01-31,1,0.52
LivraPlus (France),2020-02-03,2,1.88
LivraPlus (France),2020-02-04,42,16.767
LivraPlus (France),2020-02-06,4,10.693
LivraPlus (France),2020-02-07,1,0.155
LivraPlus (France),2020-02-10,1,12.24
LivraPlus (France),2020-02-11,1,2.74
LivraPlus (France),2020-02-13,4,15.079999999999998
LivraPlus (France),2020-02-14,2,2.2
